url,answer,category,score_value,acceptable_answers
https://www.youtube.com/watch?v=AjNVLZJorIg,Final Fantasy VII,OCRemix,400,Final Fantasy 7|FF7|FFVII
https://www.youtube.com/watch?v=NDhK8zwHs94,Castlevania II: Simon's Quest,OCRemix,600,Castlevania II|Castlevania 2
https://www.youtube.com/watch?v=9AGZni-WcRs,Secret of Mana,OCRemix,800,
https://www.youtube.com/watch?v=CkZrDmKe5PU,Chrono Cross,OCRemix,1000,
https://www.youtube.com/watch?v=UtLjjxCwPCg,Street Fighter II,OCRemix II,200,Street Fighter 2
https://www.youtube.com/watch?v=6C366FoTvjA,The Elder Scrolls V: Skyrim,OCRemix II,400,Skyrim|TES V Skyrim|Elder Scrolls V Skyrim
https://www.youtube.com/watch?v=_NLBCbMpH4Q,Crash Bandicoot,OCRemix II,600,
https://www.youtube.com/watch?v=kO5ng3fWivI,Bubble Bobble,OCRemix II,800,
https://www.youtube.com/watch?v=qjrBc9N7Vr4,The Secret of Monkey Island,OCRemix II,1000,Secret of Monkey Island
https://www.youtube.com/watch?v=ECNRH3-j5WY,Final Fantasy XIV: Heavensward,BOSS BATTLE!,200,FFXIV Heavensward|FF14 Heavensward
https://www.youtube.com/watch?v=r69uVI2vmnQ,Castlevania Symphony of the Night,BOSS BATTLE!,400,Castlevania SOTN|SOTN
https://www.youtube.com/watch?v=0RMnjL6X2gg&list=PLQjtywGAoutqWMUby0iqrJDFWZdWqN-mS&index=25,Binding of Isaac,BOSS BATTLE!,600,
https://www.youtube.com/watch?v=VIop055eJhU&list=PLXFOZBcHFiY74Q6c19q6Q4NFmCwHMAyMH&index=7,Touhou Embodiment of Scarlet Devil,BOSS BATTLE!,800,Embodiment of Scarlet Devil|Touhou Koumakyou The Embodiment of Scarlet Devil
https://www.youtube.com/watch?v=TNZ7gllxeZs&list=PLzet5u6GRJstpY0GK94gv72HIllc28ewD&index=144&t=0s,Pokemon Sun & Moon,BOSS BATTLE!,1000,Pokemon Sun|Pokemon Moon|Pokemon Sun And Moon
https://www.youtube.com/watch?v=o78T9-I4OGA,The Legend of Zelda: Wind Waker,Ecrans-titres & Openings,200,Wind Waker|Zelda Wind Waker
https://www.youtube.com/watch?v=jgHjpRPxyhA&list=PL5C894E719DEECEB2,Final Fantasy Tactics,Ecrans-titres & Openings,400,FFT
https://www.youtube.com/watch?v=u9ibkTbuSBA&list=PL04067EB703ECEDD0&index=3,Terranigma,Ecrans-titres & Openings,600,
https://www.youtube.com/watch?v=WZbQrsR09KE&list=PLW1GshK8bFVfPlqUDGeqK-MqNNyNPd0YE,Overcooked,Ecrans-titres & Openings,800,
https://www.youtube.com/watch?v=E3KU10Tp73M&list=PLDF4191CBB2E1910A&index=3,Metal Gear Solid 2,Ecrans-titres & Openings,1000,MGS2
https://www.youtube.com/watch?v=T9sz9QzsWXc,Dance Dance Revolution,Arcade,200,DDR
https://www.youtube.com/watch?v=hlH38VR50A4&list=PLgVtr83SpybO25FJBqCETDpt87zoOWyXu&index=4,Daytona USA,Arcade,400,
https://www.youtube.com/watch?v=PFF14JBtmu8&list=PLCC4687CE8C2116AB&index=3,Crazy Taxi,Arcade,600,
https://www.youtube.com/watch?v=F3BSSNxKjDk&list=PLED9AD0943B9933EC,Guilty Gear XX,Arcade,800,
https://www.youtube.com/watch?v=wzk-teCabiQ&list=PL35CB7EB56058B881&index=19,Metal Slug 3,Arcade,1000,
https://www.youtube.com/watch?v=EhKMDjfToEc&list=PLhHcMbVmbwCeYqZmiJDnlqsA-Ek739IYu&index=3,Katamari Damacy,Playstation 2,200,
https://www.youtube.com/watch?v=PjZCIsPyRGc&list=PLB9C4B4E92DF754C4&index=26,Beyond Good & Evil,Playstation 2,400,Beyond Good And Evil
https://www.youtube.com/watch?v=HJqBqAHgAA4&list=PL1AC584471FD4F040&index=32,Okami,Playstation 2,600,
https://www.youtube.com/watch?v=6YCUjoBqpSc,Ico,Playstation 2,800,
https://www.youtube.com/watch?v=EvzbD5_QrII&list=PLBC406CEA67B717D6&index=3,Devil May Cry 3,Playstation 2,1000,
https://www.youtube.com/watch?v=HXG9zU2Lb6g,Animal Crossing: New Leaf,Dodo,200,
https://www.youtube.com/watch?v=Wu6AAkcz-e0&list=PLKDOdCjxOjzI-Kst5sqRhZiuBmetbw7Nv&index=6,Firewatch,Dodo,400,
https://www.youtube.com/watch?v=PCZs1P4ZOJQ&list=PLA93F8D7D32FD8F47&index=5,Catherine,Dodo,600,
https://www.youtube.com/watch?v=wnB4mFmlaCM&list=PLTSIqhWP1gKWbtSaAFCz5erPddH--7D6L&index=6,Ori and the Blind Forest,Dodo,800,
https://www.youtube.com/watch?v=Q6IPtRIDzoA,Child of Light,Dodo,1000,
https://www.youtube.com/watch?v=8w7pGMnKqaM&list=PLW0y9Di89qCkT3BfyAoHRJ4Cn2iA3kgjt&index=217,Super Mario 64,Snow Level,200,
https://www.youtube.com/watch?v=N8OHSXvneOE,Celeste,Snow Level,400,
https://www.youtube.com/watch?v=GPat71TtuLY&list=PLW0y9Di89qCkT3BfyAoHRJ4Cn2iA3kgjt&index=127,Yoshi's Story,Snow Level,600,
https://www.youtube.com/watch?v=UrqIZS3jVuw&list=PLEE9B8E4750CB344A&index=75&t=0s,Final Fantasy X,Snow Level,800,Final Fantasy 10|FF10|FFX
https://www.youtube.com/watch?v=lxQT1aiO_Ss&list=PLvNp0Boas723qPMNwQfX0yRRHP242XH0f&index=38&t=0s,Shovel Knight,Snow Level,1000,
